References	Quantity	Manufacturer	Part Number	Description	Digikey	Mouser	RS	Newark	Farnell
BATT_JST	1	JST	S2B-PH-K-S (LF)(SN)		455-1719-ND		8201494	38K8066	9491902
BTN1, RST	2	E-Switch	TL3342F160QG/TR		EG2531CT-ND	TL3342F160QG			
C1, C7, C8	3	Yageo	CC0603KRX7R7BB105	1.0uF 0603 X7R	311-1446-1-ND	CC0603KRX7R7BB105	7882884	65R8201	1458900
C10, C11, C17, C18	4	TDK	C1608X7R2A472K080AA	47pF 0603 X7R	445-1302-1-ND	C1608X7R2A472K080AA		87R3768	2346913
C12	1	Kemet	C0603C102K5RACTU	1nF 0603	399-1082-1-ND	C0603C102K5RACTU	2644551	53M7182	1414608
C13, C14	2	AVX	06035C104KAZ2A	10uF 0603	478-3540-1-ND	06035C104KAZ2A	6983263	10R5937	1301894
C15, C16	2	AVX	06036D475MAT2A	4.7uF 0603 X7R	478-2582-1-ND	06036D475MAT2A	6983248	55J5140	1740638
C3, C4, C5, C6, C9	5	Yageo	CC0603KRX7R7BB104	0.1uF 0603 X7R	311-1088-1-ND	CC0603KRX7R7BB104	6698763	68R4769	432210
CHRG	1	Lumex	SML-LX0603YW-TR	LED 0603	67-1550-1-ND	SML-LX0603YW-TR		75K1443	2062223
IC1	1	Texas Instruments	CC2538		296-35797-1-ND	CC2538SF23RTQT	8197418	87W7713	2356506
IC2	1	Microchip	MIC5225-3.3YM5		576-2980-1-ND	MIC5225-3.3YM5-TR		93T9561	2100326
IC3	1	Microchip	MCP73831/OT		MCP73831T-2ACI/OTCT-ND	MCP73831T-2DCI/OT	7386360		1840935
JP1	1	Hirose	ZX62R-B-5P	USB Micro B	H11574CT-ND	ZX62R-B-5P	6645606	69W0714	2300439
JTAG	1	TE Connectivity	5-104652-1		A33546-ND	5-104652-1	406760		1106315
LED1	1	Kingbright	KAAF-5050RGBS-13	5050-RGB	1528-1436-ND		8721724	96W6906	2335791
R1	1	Vishay	CRCW08056K19FKEA	56k 0805 5%	541-6.19KCCT-ND	CRCW08056K19FKEA	6791645	53K0366	1653031
R2, R3	2	Vishay	CRCW080533R0JNEA	33 ohm 0805 5%	541-33ACT-ND	ERJ-6GEYJ330V	7326643	59M6892	1514856
R4	1	Vishay	CRCW080515K0JNEA	1.5k 0805 5%	541-15KACT-ND	CRGH0805J15K	8123710	41R4737	2331812
R5, R7	2	AVX	08051C222KAT2A	2.2k 0805 5%	478-1354-1-ND	08051C222KAT2A	390984	66W2153	2280664
R6	1	Vishay	RC0805JR-07330RL	330 ohm 0805 5%	311-330ARCT-ND	CR0805-JW-330ELF	7326643	59M6894	2333592
R8, R9, R10	3	Vishay	RC0805JR-07120RL	120 ohm 0805 5%	311-120ARCT-ND	CR0805-JW-121ELF	8123713	98K7733	1514812
X1	1		 						
X2	1		406I35E32M00000	CTS-406 32MHz	406I35E32M00000-ND	774-406I35E32M00000			
